capitulo,titulo_corto,tipo_archivo,tamano,tamano_bytes_aprox,fecha_publicacion,url_descarga,url_pagina
V. Régimen de Ahorro Individual (.pdf 952 KB) Última modificación: 07/10/2025 IV. Prestaciones de Pasividad (.pdf 1 MB) Últ,,pdf,V. Régimen de Ahorro Individual (.pdf 952 KB),974848,07/10/2025,https://www.bps.gub.uy/bps/file/23440/1/v_regimen-de-ahorro-individual.pdf,https://www.bps.gub.uy/1944/indicadores-de-la-seguridad-social.html
V. Régimen de Ahorro Individual (.pdf 952 KB) Última modificación: 07/10/2025 IV. Prestaciones de Pasividad (.pdf 1 MB) Últ,,pdf,IV. Prestaciones de Pasividad (.pdf 1 MB),1048576,07/10/2025,https://www.bps.gub.uy/bps/file/23439/1/iv_prestaciones-de-pasividad.pdf,https://www.bps.gub.uy/1944/indicadores-de-la-seguridad-social.html
V. Régimen de Ahorro Individual (.pdf 952 KB) Última modificación: 07/10/2025 IV. Prestaciones de Pasividad (.pdf 1 MB) Últ,,pdf,"III.4 Subsidios por Maternidad, Paternidad y Cuidado del recién nacido (.pdf 394 KB)",403456,07/10/2025,https://www.bps.gub.uy/bps/file/23438/1/iii_4_subsidios-por-mat-pat-y-crn.pdf,https://www.bps.gub.uy/1944/indicadores-de-la-seguridad-social.html
V. Régimen de Ahorro Individual (.pdf 952 KB) Última modificación: 07/10/2025 IV. Prestaciones de Pasividad (.pdf 1 MB) Últ,,pdf,III.3 Subsidio por desempleo (.pdf 472 KB),483328,07/10/2025,https://www.bps.gub.uy/bps/file/23437/1/iii_3_subsidio-por-desempleo.pdf,https://www.bps.gub.uy/1944/indicadores-de-la-seguridad-social.html
V. Régimen de Ahorro Individual (.pdf 952 KB) Última modificación: 07/10/2025 IV. Prestaciones de Pasividad (.pdf 1 MB) Últ,,pdf,III.2 Subsidio por enfermedad (.pdf 336 KB),344064,07/10/2025,https://www.bps.gub.uy/bps/file/23436/1/iii_2_subsidio-por-enfermedad.pdf,https://www.bps.gub.uy/1944/indicadores-de-la-seguridad-social.html
V. Régimen de Ahorro Individual (.pdf 952 KB) Última modificación: 07/10/2025 IV. Prestaciones de Pasividad (.pdf 1 MB) Últ,,pdf,III.1 Asignaciones familiares (.pdf 415 KB),424960,07/10/2025,https://www.bps.gub.uy/bps/file/23435/1/iii_1_asignaciones-familiares.pdf,https://www.bps.gub.uy/1944/indicadores-de-la-seguridad-social.html
V. Régimen de Ahorro Individual (.pdf 952 KB) Última modificación: 07/10/2025 IV. Prestaciones de Pasividad (.pdf 1 MB) Últ,,pdf,II. Recaudación (.pdf 440 KB),450560,07/10/2025,https://www.bps.gub.uy/bps/file/23434/1/ii_recaudacion.pdf,https://www.bps.gub.uy/1944/indicadores-de-la-seguridad-social.html
V. Régimen de Ahorro Individual (.pdf 952 KB) Última modificación: 07/10/2025 IV. Prestaciones de Pasividad (.pdf 1 MB) Últ,,pdf,I. Ingresos y egresos globales (.pdf 273 KB),279552,07/10/2025,https://www.bps.gub.uy/bps/file/23433/1/i_ingresos-e-egresos-globales.pdf,https://www.bps.gub.uy/1944/indicadores-de-la-seguridad-social.html
,,pdf,Descargar Principales indicadores 2025,,01/07/2025,https://www.bps.gub.uy/bps/file/23114/1/principales-indicadores-2025.pdf,https://www.bps.gub.uy/bps/estadisticas/cuadro.jsp?cuadro=2
V. Régimen de Ahorro Individual (.pdf 952.48 KB) Última modificación: 07/10/2025 Descargar IV. Prestaciones de Pasividad (.,,xls,Descargar v_regimen-de-ahorro-individual.xls,,07/10/2025,https://www.bps.gub.uy/bps/file/23310/1/v_regimen-de-ahorro-individual.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
V. Régimen de Ahorro Individual (.pdf 952.48 KB) Última modificación: 07/10/2025 Descargar IV. Prestaciones de Pasividad (.,,xls,Descargar iv_prestaciones-de-pasividad.xls,,07/10/2025,https://www.bps.gub.uy/bps/file/23309/1/iv_prestaciones-de-pasividad.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
V. Régimen de Ahorro Individual (.pdf 952.48 KB) Última modificación: 07/10/2025 Descargar IV. Prestaciones de Pasividad (.,,xls,Descargar iii_4_subsidios-por-mat-pat-y-crn.xls,,07/10/2025,https://www.bps.gub.uy/bps/file/23308/1/iii_4_subsidios-por-mat-pat-y-crn.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
V. Régimen de Ahorro Individual (.pdf 952.48 KB) Última modificación: 07/10/2025 Descargar IV. Prestaciones de Pasividad (.,,xls,Descargar iii_3_subsidio-por-desempleo.xls,,07/10/2025,https://www.bps.gub.uy/bps/file/23307/1/iii_3_subsidio-por-desempleo.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
V. Régimen de Ahorro Individual (.pdf 952.48 KB) Última modificación: 07/10/2025 Descargar IV. Prestaciones de Pasividad (.,,xls,Descargar iii_2_subsidio-por-enfermedad.xls,,07/10/2025,https://www.bps.gub.uy/bps/file/23306/1/iii_2_subsidio-por-enfermedad.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
V. Régimen de Ahorro Individual (.pdf 952.48 KB) Última modificación: 07/10/2025 Descargar IV. Prestaciones de Pasividad (.,,xls,Descargar iii_1_asignaciones-familiares.xls,,07/10/2025,https://www.bps.gub.uy/bps/file/23305/1/iii_1_asignaciones-familiares.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
V. Régimen de Ahorro Individual (.pdf 952.48 KB) Última modificación: 07/10/2025 Descargar IV. Prestaciones de Pasividad (.,,xls,Descargar ii_recaudacion.xls,,07/10/2025,https://www.bps.gub.uy/bps/file/23304/1/ii_recaudacion.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
V. Régimen de Ahorro Individual (.pdf 952.48 KB) Última modificación: 07/10/2025 Descargar IV. Prestaciones de Pasividad (.,,xls,Descargar i_ingresos-e-egresos-globales.xls,,07/10/2025,https://www.bps.gub.uy/bps/file/23303/1/i_ingresos-e-egresos-globales.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
V. Régimen de Ahorro Individual (.pdf 952.48 KB) Última modificación: 07/10/2025 Descargar IV. Prestaciones de Pasividad (.,,xls,Descargar v_regimen-de-ahorro-individual.xls,,07/10/2025,https://www.bps.gub.uy/bps/file/23249/1/v_regimen-de-ahorro-individual.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
V. Régimen de Ahorro Individual (.pdf 952.48 KB) Última modificación: 07/10/2025 Descargar IV. Prestaciones de Pasividad (.,,xls,Descargar iv_prestaciones-de-pasividad.xls,,07/10/2025,https://www.bps.gub.uy/bps/file/23248/1/iv_prestaciones-de-pasividad.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
V. Régimen de Ahorro Individual (.pdf 952.48 KB) Última modificación: 07/10/2025 Descargar IV. Prestaciones de Pasividad (.,,xls,Descargar iii_4_subsidios-por-mat-pat-y-crn.xls,,07/10/2025,https://www.bps.gub.uy/bps/file/23247/1/iii_4_subsidios-por-mat-pat-y-crn.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
V. Régimen de Ahorro Individual (.pdf 952.48 KB) Última modificación: 07/10/2025 Descargar IV. Prestaciones de Pasividad (.,,xls,Descargar iii_3_subsidio-por-desempleo.xls,,07/10/2025,https://www.bps.gub.uy/bps/file/23246/1/iii_3_subsidio-por-desempleo.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
